,Station Name,latitude,longitude
132,Nehru Enclave metro station,28.545849,77.251171
133,Nehru Place metro station,28.551403,77.251766
134,Netaji Subhash Place metro station,28.695889,77.1525
135,New Ashok Nagar metro station,28.58916,77.302067
136,New Delhi metro station,28.642194,77.2215
137,Delhi Airport Metro Express,,
138,NHPC Chowk metro station,28.45766,77.307422
139,Nirman Vihar metro station,28.636531,77.286804
140,Noida City Centre metro station,28.5747,77.3561
141,Noida Electronic City metro station,28.627941,77.37493
142,Noida Sector 15 metro station,28.585156,77.31158
143,Noida Sector 16 metro station,28.578395,77.317635
144,Noida Sector 18 metro station,28.570813,77.326116
145,Noida Sector 34 metro station,28.580199,77.363441
146,Noida Sector 52 metro station,28.5867,77.372839
147,Noida Sector 59 metro station,28.606493,77.372726
148,Noida Sector 61 metro station,28.597631,77.372299
149,Noida Sector 62 metro station,28.616995,77.37361
150,Okhla Bird Sanctuary metro station,28.552864,77.321649
151,Okhla NSIC metro station,28.554444,77.264722
152,Okhla Vihar metro station,28.561285,77.291912
153,Old Faridabad metro station,28.410833,77.311389
154,Palam metro station,28.595,77.078611
155,Panchsheel Park metro station,28.542338,77.220507
156,Pandit Shree Ram Sharma metro station,28.689242,76.951458
157,Paschim Vihar East metro station,28.677327,77.112436
158,Paschim Vihar West metro station,28.678611,77.102111
159,Patel Chowk metro station,28.623194,77.211806
160,Patel Nagar metro station,28.645,77.169306
161,Peeragarhi metro station,28.679694,77.092611
162,Pitampura metro station,28.703194,77.132389
163,Pratap Nagar metro station,28.666694,77.198806
164,Preet Vihar metro station,28.6415,77.295111
165,Pul Bangash metro station,28.666306,77.207
166,Punjabi Bagh metro station,28.672929,77.146059
167,Punjabi Bagh West metro station,28.672826,77.139256
168,Qutab Minar metro station,28.512951,77.186319
169,R. K. Puram metro station,28.550491,77.184942
170,Raja Nahar Singh metro station,28.339801,77.316446
171,Raj Bagh metro station,28.677031,77.346578
172,Rajdhani Park metro station,28.682194,77.043806
173,Rajendra Place metro station,28.642194,77.178306
174,Rajiv Chowk metro station,28.632806,77.219611
